ARRIVAL TIME,BURST TIME,PRIORITY
1,58,1
2,44,3
2,33,2
3,79,2
3,22,1
3,73,3
3,41,2
3,68,3
3,93,1
4,62,2
4,27,2
4,1,1
5,81,2
6,36,3
7,88,3
8,62,3
9,90,3
10,76,3
11,26,2
11,3,1
12,50,1
12,88,2
13,19,2
13,28,3
14,7,2
15,18,2
16,30,2
17,68,1
18,94,2
18,62,2
19,87,2
19,79,3
19,29,2
19,92,3
20,56,2
20,57,3
21,52,1
22,71,1
22,24,3
23,99,3
24,73,1
25,62,1
25,27,1
25,32,3
25,71,3
25,80,1
26,29,2
26,40,3
27,74,2
27,2,3
27,22,2
27,39,3
27,53,3
28,70,3
28,29,3
28,33,1
28,16,3
29,54,3
29,96,2
29,10,1
30,80,1
31,61,1
32,3,3
32,78,1
33,46,3
34,8,3
34,37,2
35,94,2
35,69,1
35,72,1
36,66,3
36,42,2
36,43,2
37,73,1
38,29,1
38,39,1
39,15,3
39,10,2
40,64,2
41,66,1
42,0,1
43,91,2
43,86,2
43,31,1
44,9,1
44,23,1
45,76,2
45,10,3
45,51,2
45,48,2
45,30,3
46,86,3
46,93,1
47,5,3
47,92,1
47,60,3
47,73,3
48,27,1
49,43,2
49,77,3
50,31,2
50,22,2
51,93,2
51,81,2
52,83,1
53,18,2
53,75,2
54,75,1
54,70,3
54,80,2
55,11,2
56,63,2
57,82,1
58,29,1
59,52,1
59,95,1
60,20,3
60,33,1
61,21,1
61,20,1
62,62,1
62,20,2
63,77,1
64,71,1
65,24,1
66,4,1
67,36,2
67,47,2
68,92,1
69,61,1
69,80,2
70,61,1
70,69,2
71,19,2
71,66,3
71,21,2
72,13,3
72,87,2
72,44,3
72,38,3
73,56,1
74,92,3
74,45,2
75,39,3
75,50,2
75,6,1
75,36,2
76,87,3
77,55,3
78,25,2
79,22,1
80,27,3
81,43,2
81,77,3
81,34,2
81,30,3
82,67,2
83,93,2
83,24,3
83,61,3
84,17,1
84,63,1
85,45,3
86,36,3
86,32,2
87,2,2
88,41,1
89,60,3
90,82,1
90,69,1
90,35,3
91,14,3
92,84,1
93,57,3
93,72,2
93,51,2
94,58,2
95,52,1
96,28,2
96,1,3
96,30,2
96,13,3
96,1,1
97,0,2
98,24,3
99,15,3
99,68,3
99,62,2
100,30,1
100,58,2
100,29,2
100,14,2
100,45,2
101,58,2
102,65,3
103,99,2
103,80,2
103,61,2
104,65,1
105,81,3
106,4,1
107,11,3
107,0,1
