ARRIVAL TIME,BURST TIME,PRIORITY
0,72,2
1,34,1
2,2,3
3,64,3
4,39,2
5,1,3
6,11,1
6,29,1
6,52,3
6,51,2
6,48,3
6,44,1
7,64,1
8,0,3
8,92,1
8,63,1
9,6,1
9,34,1
9,28,1
10,68,2
11,63,3
12,14,1
13,56,3
14,60,2
14,57,1
15,16,3
15,30,2
16,57,3
16,82,3
17,30,1
17,46,3
18,28,3
18,93,2
18,98,3
18,2,1
18,33,2
18,37,1
18,44,1
19,41,2
20,7,3
20,56,1
20,32,2
20,10,1
20,66,3
20,21,2
21,28,1
22,49,3
23,54,1
24,26,2
25,92,3
25,31,2
25,6,1
25,73,3
25,54,2
26,49,3
27,66,3
27,10,2
27,53,2
27,91,3
28,97,2
28,16,1
29,49,2
29,14,2
30,8,3
30,88,1
31,3,1
32,30,3
33,75,1
33,35,1
33,92,2
34,21,2
34,46,1
34,1,2
34,67,1
34,33,3
35,60,1
36,85,3
37,59,2
37,58,1
38,99,2
38,38,1
38,55,2
39,74,2
40,84,1
40,4,1
40,64,1
41,68,3
41,71,2
42,7,1
42,62,3
42,10,3
42,0,2
42,98,2
42,51,1
42,96,2
43,99,1
43,18,2
44,23,2
44,36,3
45,34,1
45,28,1
46,13,2
47,75,3
47,92,1
48,29,1
48,88,1
49,100,2
49,70,2
50,83,3
50,37,1
50,39,2
50,81,2
50,60,3
51,92,2
52,3,1
52,46,3
52,73,1
52,42,1
52,60,2
52,65,3
53,47,2
54,86,1
54,76,1
54,18,1
55,55,1
55,90,3
55,48,1
55,70,2
55,85,1
56,18,1
57,57,1
57,10,2
58,67,3
58,50,2
59,100,1
59,70,3
60,14,2
60,85,1
61,22,3
61,53,1
61,37,1
61,73,3
62,38,3
63,31,3
63,85,1
64,10,2
65,93,3
66,57,3
66,100,1
66,4,2
66,28,1
67,7,3
67,36,2
67,11,3
67,13,1
67,21,3
67,9,1
68,48,2
69,76,3
69,64,2
70,55,3
70,23,2
70,40,1
71,29,3
72,97,3
73,82,1
73,20,3
74,19,3
74,86,1
75,93,3
76,72,1
76,37,1
77,63,2
77,36,2
78,53,2
79,68,3
80,56,1
81,89,2
81,22,2
82,38,2
82,36,2
83,78,2
83,81,2
83,78,1
84,67,3
84,85,1
85,36,3
85,9,1
85,45,1
86,19,1
86,51,1
87,44,1
88,80,1
88,83,2
89,36,3
90,95,2
91,60,1
91,76,2
91,31,1
92,65,3
92,50,3
92,54,2
92,41,1
92,97,1
92,86,2
92,36,2
92,49,3
93,95,3
94,61,3
95,71,1
96,41,2
97,5,2
97,95,3
97,14,1
98,54,2
98,75,2
99,77,3
100,85,2
101,36,3
102,44,2
102,14,3
103,41,1
104,26,1
105,55,2
105,25,1
106,40,3
106,15,3
107,39,3
108,89,1
109,71,3
110,52,2
111,97,2
111,13,3
112,4,1
112,14,2
112,41,2
112,71,2
113,96,3
114,85,3
115,92,2
115,62,1
115,93,3
116,94,1
117,1,2
117,65,1
118,71,1
119,21,2
119,71,1
119,44,3
120,80,3
121,35,2
122,88,2
122,63,1
122,9,1
123,22,2
123,65,2
124,81,3
125,85,1
126,55,2
127,56,3
127,90,1
127,90,3
128,21,3
129,20,3
130,8,3
131,96,3
131,81,1
131,6,2
132,62,3
132,76,3
132,21,1
133,65,3
134,20,3
135,29,1
135,39,2
135,63,1
135,69,1
136,44,2
136,65,3
137,67,1
138,81,1
139,10,1
140,63,2
140,84,2
140,6,1
140,38,3
140,61,3
141,5,3
142,88,2
143,100,1
143,44,1
144,82,2
144,39,1
144,67,1
145,43,2
146,0,1
146,17,3
147,83,2
147,11,3
147,94,3
148,12,2
149,28,2
150,38,3
151,33,2
151,72,3
151,45,2
152,53,1
153,35,2
153,38,1
154,85,3
154,64,3
155,85,3
156,74,1
157,11,2
157,90,2
157,93,1
158,92,3
158,75,3
159,10,2
159,48,3
160,75,2
161,80,1
162,44,1
162,49,2
163,0,2
163,64,2
163,0,2
164,99,3
164,25,1
164,9,3
164,4,1
164,76,2
164,28,2
165,27,3
166,61,1
167,54,2
168,5,3
168,69,1
168,37,3
168,95,1
168,54,3
168,73,1
168,17,2
168,33,3
168,56,1
168,85,3
168,28,2
168,85,1
168,47,3
168,19,2
168,61,2
169,52,3
170,82,1
171,95,2
172,59,2
173,83,1
173,99,3
173,83,1
174,45,3
174,58,2
175,8,2
175,90,1
176,14,1
177,20,3
177,15,2
177,14,3
178,13,1
179,23,2
179,52,3
179,99,2
179,93,3
179,51,3
180,62,2
181,23,3
181,71,1
182,41,1
182,64,2
183,1,1
183,52,3
184,93,1
184,90,1
184,50,2
184,34,3
184,15,3
184,23,1
184,12,2
184,27,1
185,57,3
185,44,3
186,38,1
186,27,3
187,88,3
187,76,2
188,56,3
188,67,1
188,67,1
189,93,2
189,78,1
190,4,3
191,19,2
192,54,3
193,83,3
194,65,1
195,61,2
196,46,2
196,31,2
196,67,2
196,93,1
197,66,1
198,24,3
198,94,2
199,1,3
200,22,1
201,75,3
201,17,3
201,84,3
201,55,3
202,73,3
203,90,1
204,33,2
205,10,1
206,93,2
207,19,1
208,40,1
208,3,1
208,2,1
209,0,1
209,78,2
209,48,2
210,49,1
211,86,2
212,99,2
213,70,1
214,74,3
214,67,3
215,17,2
216,36,2
217,65,1
217,95,1
217,72,2
218,19,2
218,41,3
219,10,2
219,48,2
220,56,1
220,69,1
220,53,2
221,38,2
222,22,1
222,74,3
222,4,2
223,20,1
223,9,3
223,39,3
223,100,2
223,100,3
223,84,1
223,35,1
224,98,2
225,60,1
225,46,3
225,69,3
225,37,2
226,51,2
227,24,1
228,87,2
228,95,2
228,4,1
229,51,2
230,49,3
231,7,3
232,9,1
233,92,2
233,84,3
233,25,1
233,2,2
233,50,3
234,75,3
235,88,1
236,96,1
237,83,3
238,6,1
238,6,1
238,74,1
238,62,1
239,31,3
240,57,2
241,74,3
242,37,2
242,61,2
242,82,1
242,21,2
243,92,3
243,48,2
243,84,1
244,65,2
244,33,1
244,93,2
244,22,2
244,56,3
245,46,2
245,82,3
245,69,2
245,56,2
246,69,2
247,41,3
248,31,3
248,57,2
249,51,3
249,65,2
249,17,1
249,66,3
250,39,3
250,85,3
251,76,2
252,26,3
252,83,2
252,10,3
252,58,1
252,93,3
253,38,2
254,70,2
254,99,1
254,51,3
254,18,3
255,74,2
256,87,1
257,89,2
257,0,1
258,64,1
259,97,2
259,11,3
260,36,1
260,71,2
261,62,1
261,21,3
262,96,2
262,27,2
262,83,3
263,21,2
263,21,1
264,29,2
265,79,2
265,27,1
266,92,1
267,85,1
268,59,2
269,43,1
269,18,3
270,11,2
270,83,2
270,49,1
271,13,2
272,23,1
272,64,1
272,98,1
272,71,1
272,51,1
272,77,1
272,28,3
273,39,3
274,44,3
275,50,2
275,15,3
275,39,1
276,31,2
277,13,2
277,91,2
277,85,3
277,14,1
277,52,3
278,67,3
279,32,3
279,47,2
279,28,1
279,23,2
279,74,1
279,28,2
279,15,2
280,60,3
280,48,3
281,48,2
281,59,1
282,36,2
282,45,1
283,79,1
283,12,3
283,20,2
283,55,1
283,62,3
284,57,3
284,82,1
285,30,1
285,78,1
285,44,3
286,69,1
287,66,2
288,99,3
288,16,3
288,4,3
289,87,2
290,16,2
291,91,2
291,10,1
292,37,1
293,12,2
293,27,3
293,28,2
294,61,1
295,94,3
296,51,3
296,98,3
297,26,3
298,77,1
298,97,1
298,49,1
299,57,1
300,32,3
301,28,2
301,37,2
302,1,2
302,81,2
302,29,1
302,50,3
302,77,3
302,69,3
302,82,1
302,40,2
303,8,2
303,48,1
304,5,1
304,42,3
304,34,3
304,79,3
304,97,3
304,2,3
305,86,2
306,27,2
307,43,3
308,5,1
309,27,1
310,81,1
311,94,3
311,79,2
312,7,1
312,40,3
312,56,3
313,15,3
313,93,1
314,0,2
315,36,1
315,36,3
315,83,2
315,70,2
316,61,1
317,77,1
318,57,3
318,98,3
318,51,2
319,13,3
320,11,3
321,20,1
321,13,3
322,84,3
322,75,1
323,87,1
323,89,2
324,54,3
324,59,3
325,31,1
325,65,2
326,57,2
326,60,3
326,1,1
327,79,1
328,47,3
329,89,3
329,14,3
329,30,3
330,27,2
330,78,3
330,99,1
330,30,1
330,97,2
331,51,1
331,46,3
332,96,3
332,19,3
332,8,3
332,40,2
333,36,2
334,30,1
335,51,1
336,42,2
337,12,2
337,68,2
338,4,2
339,79,1
340,7,2
341,86,2
342,76,3
343,44,3
343,34,2
344,30,3
344,34,3
345,98,2
346,90,3
346,22,3
346,68,1
347,31,3
348,40,1
349,63,3
349,48,1
350,7,2
351,86,3
352,56,2
352,12,2
352,73,3
353,60,2
353,46,1
354,58,3
355,21,1
356,79,3
356,13,1
356,36,2
357,21,3
358,10,3
358,2,3
358,67,3
358,49,2
359,41,2
360,5,1
361,16,3
362,27,3
362,97,3
362,14,2
362,4,2
363,67,3
363,93,1
363,93,1
364,48,1
365,90,3
365,41,2
365,81,1
366,96,3
366,0,3
366,24,3
366,8,3
367,71,2
368,5,2
369,80,3
370,24,2
370,53,2
